Channel,Video_ID,Author,Comment,Likes,Published_At
Channel 24,SvWKcZXOGwg,@oxigenagrobusiness8572,হামের টিকার কার্যকরী কতটুকু বা মানসম্মত নয় মনে হয়। সব জায়গায় দুর্নীতি বাজ দের থাবা,0,2026-03-30T03:30:32Z
Channel 24,SvWKcZXOGwg,@mdsohel-uq7zh,"প্রতিবাদ: সাধারণ মানুষের ভোগান্তি ও শিশুদের হামের ঝুঁকি!<br> দেশের বিভিন্ন অঞ্চলের টিকাদান কেন্দ্রের চরম অব্যবস্থাপনার তীব্র প্রতিবাদ জানাচ্ছি। বর্তমানে দেশে হামে শিশু মৃত্যুর হার বাড়ছে, অথচ মাঠ পর্যায়ের স্বাস্থ্যকর্মীদের গাফিলতি চরমে!<br>🛑 আমাদের অভিযোগসমূহ:<br>📍 সময়ের চরম অবহেলা: কর্মীরা সকাল থেকে গল্পগুজব করে বেলা ১১টা/১২টার আগে টিকা দেওয়া শুরু করেন না। মায়েরা কোলে বাচ্চা নিয়ে ঘণ্টার পর ঘণ্টা লাইনে দাঁড়িয়ে থাকেন।<br>📍 অমানবিক আচরণ: টিকা নিতে আসা মায়েদের সাথে অত্যন্ত রুক্ষ ও খারাপ ভাষায় কথা বলা হয়। কোনো প্রশ্ন করলে কেন্দ্র থেকে বের করে দেওয়ার হুমকি দেওয়া হয়।<br>📍 কাগজপত্র নিয়ে জালিয়াতি: সরকারি কার্ড দিতে চায় না, উল্টো ছেঁড়া কাগজের টুকরোয় টিকার নাম লিখে দেওয়া হয়। এটি চরম দায়িত্বহীনতা!<br>📍 এলাকা নিয়ে হয়রানি: এক এলাকার মানুষকে অন্য এলাকায় পাঠিয়ে দিয়ে বারবার হয়রানি করা হয়।<br>📍 মিথ্যা অজুহাত: বাচ্চা সামান্য অসুস্থ থাকলে বা নিজেদের ইচ্ছেমতো &#39;ধর্মঘট&#39; ডেকে টিকা দেওয়া বন্ধ রাখা হয়। ফোনেও তাদের পাওয়া যায় না।<br>⚠️ কেন এই বৈষম্য?<br>ধনী বা সচেতন এলাকার মানুষ সব সুবিধা পেলেও, উত্তরবঙ্গ বা ঢাকার বাইরের সাধারণ খেটে খাওয়া মানুষ আজ নিজ দেশে &#39;ভাড়াটিয়ার&#39; মতো অবহেলিত। এই অব্যবস্থাপনার কারণেই আজ শিশুদের হামের মতো মরণব্যাধি ছড়াচ্ছে এবং শিশু মৃত্যু বাড়ছে!<br>🚩 কর্তৃপক্ষের কাছে দাবি:<br>১. টিকাদান কেন্দ্রে কর্মীদের কাজের সময় ও সিসিটিভি মনিটরিং নিশ্চিত করুন।<br>২. সাধারণ মানুষের সাথে অমানবিক আচরণকারীদের বিরুদ্ধে কঠোর ব্যবস্থা নিন।<br>৩. প্রতিটি শিশুকে সরকারি কার্ড প্রদান বাধ্যতামূলক করুন।",0,2026-03-30T08:18:33Z
Channel 24,SvWKcZXOGwg,@abdulKarim-nf8gy,সব জায়গায় ভেজাল,0,2026-03-30T03:07:51Z
Channel 24,SvWKcZXOGwg,@MasturaIslam-e7d4t,রাজশাহী মেডিকেল ভোগান্তির আরেক নাম,0,2026-03-30T04:41:38Z
Channel 24,SvWKcZXOGwg,@rowshonalom001,বর্তমান সরকার শয়তান লীগ সরকারের চেয়েও অনেক বেশি ব্যার্থ।  হাম সহ দশ রোগের টিকা নাই।,0,2026-03-30T04:13:58Z
Channel 24,9eQcbbN_GLo,@AzinurIslam-p5b,"দূতো সকল শিশুকে টিকার আওতায় আনতে হবে ইনশাআল্লাহ মিস ইশিতা বেগম ধন্যবাদ,,,,",1,2026-04-06T02:23:01Z
SD Health21,V-wDl_wB8iA,@sushantadas2364,দারুণ ❤❤,0,2026-04-04T18:22:39Z
Channel 24,rb1D1aVz6e0,@bluesky441,"শেখ হাসিনার আমলে মুহাম্মদ  ইউনূসকে যখন গ্রামীণ ব্যাংকের এমডি থেকে অপসারণ ও কর ফাকির মামলা দেওয়া হয় তখন ফেসবুক প্রোপাগাণ্ডার শিকার হয়ে ভাবতাম নোবেলজয়ী আন্তর্জাতিক মাপের একজন ব্যক্তিকে ঈর্ষা করে হাসিনা এমন হয়রানি করছে। ইউনূস আদালতে গেলে সেই খবরের ভিডিওতে আমি তার পক্ষে মন্তব্য করেছিলাম৷ এখন সবই সাফ। গরীবের এতগুলো টাকা লুটে খাওয়ায় ক্ষিপ্ত, ক্ষুব্দ হয়েই শেখ হাসিনা তাকে অপসারণ করেছিলেন৷ ব্যাটার খাইখাই কেমন দেড় বছরে সেটা যেমন প্রমাণিত তেমনি সাধারণ মানুষের চোখে আজ সম্মানিত জায়গা থেকে সে একটা নরপিশাচ। গরীবের আরও টাকা লুট করতে না পেরেই দাম্ভিক ইউনূস হিলারি ক্লিন্টনকে দিয়ে পদ্মাসেতুর জন্য বিশ্বব্যাংকের ফান্ডিং বন্ধ করায়। যার ভেতর বিন্দুমাত্র দেশপ্রেম থাকে সে দেশের ক্ষতি করবেনা। দেশপ্রেমহীন নরপশু ইউনূস ও তার সাঙ্গপাঙ্গদের গদিতে বসানোর ফল এই জাতিকে দীর্ঘদিন দিতে হবে। হাসপাতালের বেডে মায়ের কোলে এতগুলো শিশুর লাশ তার একটা উদাহরণ মাত্র! বিএনপি ও জামাতের কাছে অনুরোধ, আমাদের সমস্যা দ্রব্যমূল্য, আইনশৃঙ্খলা, জ্বালানি সংকট, বিদ্যুৎ, টিকা, চিকিৎসা, বেকারত্ব হ্রাস, অর্থনীতির চাকা ফের সচল করা, বনাঞ্চল সৃষ্টি ও রক্ষণাবেক্ষণ ইত্যাদিতে একে অপরকে সহায়তা করুন৷ ফ্যাসিস্ট মুক্ত নতুন বাংলাদেশের যে স্বপ্ন দেখিয়ে এতগুলো প্রাণ গেল, এতগুলো লোক পঙ্গু হলো সেই স্বপ্নই যদি পূর্ণ না হয় সাধারণ মানুষ কি জুলাই সনদ ধুয়ে জল খাবে? জনতার মন আওয়ামী লীগের প্রতি ফের ঘুরে যাবে। সেটা যে আপনাদের জন্য অমঙ্গলকর এটুকু বোধ আশা করি আপনাদের আছে।",4,2026-04-13T14:56:54Z
Channel 24,rb1D1aVz6e0,@jahirulislam20010,জামাতিরা ফেসবুকে প্রোপাগাণ্ডা চালিয়েছে দেশে ইসলাম নেই। হেফাজতের সমাবেশে নাকি পাচ লাখ আলেম শহীদ হয়েছে এসব আজগুবি গল্প। অনেকে বিশ্বাস করেছে যেমন আমি৷ আজ একটা কথা অবশ্যই বলব৷ শেখ হাসিনা যাওয়ার পরে বাংলাদেশের উপর থেকে আল্লাহর রহমত উঠে গেছে৷,2,2026-04-13T15:15:45Z
Channel 24,rb1D1aVz6e0,@bangladeshfeni,হামের জন্য হোমিওপ্যাথিক চিকিৎসা সেরা,0,2026-04-13T17:47:53Z
Channel 24,rb1D1aVz6e0,@RAHMAN-df3zb,"যেদিন আমার দেশে রাষ্ট্রপতি প্রধানমন্ত্রী ও বিরোধী দলের নেতারা,,ভিআইপি নামে এমপি মন্ত্রী মূর্খ্য নেতারা মুখস্থ বিদ্যা বড় চেয়ার আদায় করা কর্মককতা কমচারীরা সহ সবাই যদি বিদেশে বা দেশে গলা কাটা ভিআইপি হাসপাতালে না গিয়ে,,দেশের সরকারি হাসপাতাল গুলোতে চিকিৎসা করাতো ও দেশ প্রেমিক সততা ভালো মনমানসিকতা হতো ও সকল সিস্টেম সংস্কার ও কঠোর আইন ছোট বড় অপরাধের জবাবদিহিতা বিচার তদন্ত থাকতো এবং জনগণের কষ্ট টাকায়ে চিকিৎসা ব্যবস্থার জন্য ভবিষ্যৎ প্রজন্ম কথা ভেবে সঠিকভাবে বিশ্লেষণ করে কাজ করতো তাহলে সরকারি হাসপাতালে চিকিৎসা করাতো তাহলে দেশের সরকারি হাসপাতাল গুলো আধুনিক হাসপাতাল হয়ে যেতো কেউ চিকিৎসা জন্য বিদেশে যেতো না,,<br>কিন্তু আফসোস আমরা শিক্ষিত রুপে অশিক্ষিত শুদ্ধ ভাবে কথা বলা মিথ্যা আশ্বাস অনিয়ম-দুর্নীতি চুরি লুটপাট পরিবারতন্ত্র আমলাতন্ত্র দখল চাঁদাবাজি তেলবাজ করা জাতি।<br>ভাই আমার পানি লাগবে না পানি আমার পরিবারতন্ত্র দলীয়করণ মুক্ত গনতন্ত্র স্বাধীন দেশ লাগবে,<br>যে পর্যন্ত সকল সরকারি স্বায়িত্বশাসিত হাসপাতালে প্রশাসন রাজুক দুদক,এনবি আর, খেলাধুলাসহ সকল অফিসে যেকোন দলের দলীয়করণ মুক্ত না হবে বাংলাদেশ স্বাধীন হবে না।,আমরা কেউ দেশ প্রেমিক না কেননা দেশ প্রেমিক শিক্ষা নেই,কঠোর আইন জবাবদিহিতা সংবিধান প্রশাসন সিস্টেম সকল কিছু সংস্কার গঠনমুলক শাসন ব্যবস্থা আধুনিক রাষ্ট্র হয় নাই বলে দেশটা তছনছ ধ্বংস করে দিয়েছে বিষ্টিটরা,,<br>কেউ যেন চিকিৎসা করাতে বিদেশে না যায়,,<br>দেশের সকল হাসপাতালে অফিস সিন্ডিকেট  সরকারি হাসপাতালে ঔষধ খাদ্য কাপড় গুলো চুরি অনিয়ম-দুর্নীতি অপচয় লুটপাট করে তা বন্ধ করতে হবে,,<br>১০০/১৫০ বছরের পরিকল্পনা করে সকল সরকারি স্বায়িত্বশাসিত হাসপাতালে ভবন ছাত্রদের হল অপারেশন রুম রোগী কেবিন সিট যেন টেকসই আধুনিক হয়,,<br>মেডিকেল কলেজ বিশ্ববিদ্যালয় ছাএ ছাএীদের ভালো মনমানসিকতা দেশ প্রেমিক শিক্ষা দিতে হবে,, শিক্ষা ও সকল হাসপাতাল চিকিৎসা নামে যেন ব্যবসা  রাজনীতি মাদক রেগিং সিন্ডিকেট  অনিয়ম-দুর্নীতি দেশের সম্পদ লুটপাট না হয়,,ভালো দেশ প্রেমিক শিক্ষা শিক্ষক নেই বলে দেশটা এগিয়ে যেতে হচ্ছে,,<br>এইদেশে শিক্ষা গবেষণা হয় কে কত নাম্বার পেয়েছে পাস করেছে কিন্তু উন্নত আধুনিক সেবার জন্য গবেষণা চর্চা করে না,,<br>দেশের বেশির ভাগ ডাক্তার নার্স কর্মকতা কমচারীরা ডাক্তাররা পারে কিভাবে মুখস্থ বিদ্যা করতে পেরেশান ও বড় পদ চেয়ার আদায় করা আর গবেষণা করবে কিভাবে জনগণের কষ্টের টাকা সিন্ডিকেট করে চুরি অপচয় লুটপাট করে দেশ বিদেশে সম্পদের পাহাড় গড়ে তুলা ছেলেমেয়ে বিলাসিতা করা,,সেই মনমানসিকতা চিন্তা পরিকল্পনা করে থাকে,<br>বাংলাদেশের বেশির ভাগ মানুষ কেন বিদেশ বা ভারতে চিকিৎসা করতে যায় খরচ কেন কম লাগে?দেশে কি ভালো চিকিৎসা বা ডাক্তার নেই এত খরচ কেন এত ঔষধ লিখে দেয় কেন? সরকারি হাসপাতাল ডাক্তার কেন ২/৩ মিনিট রোগী দেখে আর ইচ্ছে মত ঔষধ লিখে দেয় কেন? দেশের ডাক্তার রা কেন রোগীদের সাথে খারাপ ব্যবহার অবহেলা করে ও ছয়নয় সেবা দেয় কেন?<br>দেশের ঔষধের দাম কেন এত বাড়ে আর সরকারি হাসপাতাল ঔষধ কাপড় খাদ্য কিভাবে লুটপাট অপচয় হয়ে যায় কেন?দেশের মানুষ কেন অন্য দেশের চিকিৎসা ভালো সুনাম করে বাংলাদেশের চিকিৎসা খারাপ বলে কেন? অন্য দেশের ডাক্তাররা যদি পারে তাহলে কেন আমার দেশের ডাক্তার রা ভালো মানের চিকিৎসা করতে পারে না কেন?<br>দেশের ডাক্তার যদি ভালো উন্নত সেবা দিতে পারতো তাহলে দেশের মানুষ অন্য দেশে বিদেশে গিয়ে চিকিৎসা করাতো না দেশের টাকা দেশেই থাকতো,,<br>স্যার বাংলাদেশ দেশ প্রেমিক সততা ভাবে কাজ করা অভিজ্ঞতা বুদ্ধিমান গবেষণা করে দেশের মানুষের উন্নত চিকিৎসার সেবা দেওয়ার মানুষ নেই,সবাই নিজের স্বার্থ সেবা স্বজনপ্রীতি নিয়ে পেরেশানি থাকে দেশ দেশের মানুষের কি হলো তা দেখার সময় নেই,ছয়নয় লোকদেখানো সেবা দেয়,,<br>বেশির ভাগ সরকারি কর্মকতা কমচারী প্রশাসন ডাক্তাররা কত মিলিয়ন মিলিয়ন টাকা মালিক কেউ দেখার নেই যারা দেখবে তারা সবাই সিন্ডিকেট অনিয়ম-দুর্নীতি সাথে জড়িত তাদের পেট চেহারা কত সুন্দর হয় জনগণের কষ্ট টাকা দিয়ে এসি রুমে বসে,<br>সেবা করে না বাজেট সময় বাড়ানো আর জনগণের সেবার বদলে হয়রানি ভোগান্তি করায়,তাদের ধরা ও প্রমাণ পাওয়া যায় না সবাই সিন্ডিকেট চলে,,<br>সকল সরকারি অফিস কর্মকতা ডাক্তাররা বিদেশে যায় শিখতে কিন্তু তারা দেশে এসে সেটা কাজে লাগায় না তারা জনগণের কষ্ট টাকা ঘুরাঘুরি শপিং ছবি তুলে দেশ এসে ভালো মত উন্নত সেবা উন্নয়ন করতে পারে না তা বন্ধ করতে হবে,<br>সকল কাঠামো অবকাঠামো চিকিৎসা সেনাবাহিনীর ইঞ্জিনিয়ার দিয়ে করাতে হবে বা দায়িত্ব দিতে হবে,",0,2026-04-13T20:23:09Z
SOMOY TV,vSt3Tn4fAr4,@kyasaimogh,আতঙ্ক না তেল জিনিস পরিহার করুন,0,2026-03-30T18:28:30Z
Jamuna TV,MBm8B324Ws4,@Mst.SubornaJannatSuborna,"আমি কুমুদিনীতে ভর্তি আছি আমার বাচ্চা কে নিয়ে,পাচদিনে দুই শিশুর মৃত্যু, আরো তিনজন আশংকাজনক",0,2026-04-09T08:09:54Z
Jamuna TV,MBm8B324Ws4,@Mst.SubornaJannatSuborna,"আজ সকালেও একটা বাচ্চা মারা গেছে, তিনদিন আগে এক বাবু মারা গেছে",0,2026-04-09T08:10:36Z
